event_type,distance_sb,mean_xT,std_xT,delta_vs_baseline
Carry,0.0,0.028758433754285658,0.025035945249439927,0.0019433197418325804
Carry,0.25,0.02901484403010161,0.02864414278624425,0.0021997300176485324
Carry,0.5,0.028043184120223108,0.028180605692798896,0.0012280701077700303
Carry,0.75,0.030445343298226714,0.031001131761945116,0.003630229285773636
Carry,1.0,0.029811065349923938,0.03325713658791721,0.0029959513374708605
Carry,1.25,0.030418352758092116,0.034919808800614995,0.0036032387456390383
Carry,1.5,0.03213225284216777,0.03724723146168037,0.005317138829714695
Carry,1.75,0.03191632843059808,0.03620452411946417,0.005101214418145001
Carry,2.0,0.03215924342503512,0.03794208866562413,0.0053441294125820445
Carry,2.25,0.033468285218564923,0.04019161994807019,0.006653171206111846
Carry,2.5,0.033036436362747564,0.04172508096151012,0.006221322350294486
Carry,2.75,0.03391362929543262,0.04178297490027537,0.007098515282979539
Carry,3.0,0.033927124589379985,0.04130581103338305,0.0071120105769269075
Carry,3.25,0.03512820410171421,0.0447381453046326,0.008313090089261132
Carry,3.5,0.036410255435547524,0.04569527653299525,0.009595141423094446
Carry,3.75,0.03600539716259751,0.04595626453412982,0.009190283150144436
Carry,4.0,0.036842104271255366,0.04531208987005117,0.010026990258802288
Carry,4.25,0.03735492472233962,0.04809201069620188,0.010539810709886546
Carry,4.5,0.03758434450326741,0.0496026844892902,0.010769230490814335
Carry,4.75,0.03819163193154512,0.05087330051567012,0.011376517919092045
Carry,5.0,0.03894736747258668,0.048267961279185485,0.012132253460133604
Pass,0.0,0.023036436644079877,0.02128363806830557,-0.003778677368373201
Pass,0.25,0.022577597245614218,0.02274000097803586,-0.00423751676683886
Pass,0.5,0.02233468225620456,0.02131509570840934,-0.004480431756248519
Pass,0.75,0.02246963503982937,0.02063697365872542,-0.004345478972623707
Pass,1.0,0.0225641019943996,0.021848706430605797,-0.004251012018053477
Pass,1.25,0.022348177570261453,0.020371520820921096,-0.004466936442191625
Pass,1.5,0.02273954056685994,0.021867553446466455,-0.004075573445593138
Pass,1.75,0.02240215866058542,0.021965625789889875,-0.004412955351867656
Pass,2.0,0.022294196449773193,0.021804549672189748,-0.004520917562679885
Pass,2.25,0.02218623427163895,0.021647971234469536,-0.004628879740814128
Pass,2.5,0.02282051220234589,0.022817858475033592,-0.003994601810107187
Pass,2.75,0.022685559436316914,0.021425441556321662,-0.004129554576136164
Pass,3.0,0.024048582385526655,0.023362837510285693,-0.002766531626926423
Pass,3.25,0.023508771313869678,0.02292619065709473,-0.0033063426985833998
Pass,3.5,0.023549257082595677,0.023028628102821025,-0.0032658569298574004
Pass,3.75,0.023900134350687226,0.02195654501594457,-0.002914979661765852
Pass,4.0,0.023576247703168397,0.022133898778545325,-0.003238866309284681
Pass,4.25,0.02438596434458869,0.022884017866468133,-0.0024291496678643873
Pass,4.5,0.02560053912321968,0.023368714222627863,-0.0012145748892333982
Pass,4.75,0.02541160529954472,0.022393832382541633,-0.0014035087129083586
Pass,5.0,0.026612684857125386,0.024111689532413404,-0.00020242915532769218
